iter	Passed	Remaining
977	46196	1039
978	46237	991
979	46283	944
980	46334	897
981	46372	850
982	46430	802
983	46472	755
984	46512	708
985	46564	661
986	46605	613
987	46642	566
988	46681	519
989	46729	472
990	46772	424
991	46816	377
992	46856	330
993	46910	283
994	46959	235
995	47000	188
996	47062	141
997	47122	94
998	47158	47
999	47197	0
